atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,H,L,namd_ID0000002,1,390,1.0,886.05,1.63,1.0,110247.03,1440.79,1.0,3.54,0.0,1.0,26601049.0,8645.0,1.0,42929.0,167.0,1.0,282316870.0,2110330.0,1.0,3174359.0,17153.0,1.0,6595368.0,252.0,1.0,1003436960.0,92364.0,1.0
M,H,H,L,namd_ID0000002,1,385,0.98718,884.42,1.57,0.99816,108806.24,1440.78,0.98693,3.54,0.0,1.0,26592404.0,461462.0,0.99968,42762.0,202.0,0.99611,280206540.0,1953486.0,0.99252,3157206.0,15818.0,0.9946,6595116.0,184.0,0.99996,1003344596.0,264.0,0.99991
M,H,H,L,namd_ID0000002,1,380,0.97436,882.85,1.65,0.99639,107365.46,1440.46,0.97386,3.54,0.0,1.0,26130942.0,9892.0,0.98233,42560.0,164.0,0.9914,278253054.0,1851562.0,0.98561,3141388.0,14968.0,0.98961,6594932.0,220.0,0.99993,1003344332.0,65536.0,0.99991
M,H,H,L,namd_ID0000002,1,375,0.96154,881.2,1.67,0.99453,105925.0,1443.61,0.9608,3.54,0.0,1.0,26121050.0,460035.0,0.98196,42396.0,181.0,0.98758,276401492.0,1649755.0,0.97905,3126420.0,13365.0,0.9849,6594712.0,212.0,0.9999,1003278796.0,400.0,0.99984
M,H,H,L,namd_ID0000002,1,370,0.94872,879.53,1.59,0.99264,104481.39,1440.62,0.9477,3.54,0.0,1.0,25661015.0,460824.0,0.96466,42215.0,180.0,0.98337,274751737.0,1492175.0,0.9732,3113055.0,12026.0,0.98069,6594500.0,260.0,0.99987,1003278396.0,6412.0,0.99984
M,H,H,L,namd_ID0000002,1,365,0.9359,877.94,1.64,0.99085,103040.77,1440.72,0.93464,3.54,0.0,1.0,25200191.0,8909.0,0.94734,42035.0,173.0,0.97917,273259562.0,2021406.0,0.96792,3101029.0,16498.0,0.9769,6594240.0,224.0,0.99983,1003271984.0,136.0,0.99984
M,H,H,L,namd_ID0000002,1,360,0.92308,876.3,1.61,0.989,101600.05,1441.2,0.92157,3.54,0.0,1.0,25191282.0,462063.0,0.947,41862.0,209.0,0.97515,271238156.0,2165343.0,0.96076,3084531.0,17592.0,0.9717,6594016.0,188.0,0.9998,1003271848.0,6412.0,0.99984
M,H,H,L,namd_ID0000002,1,355,0.91026,874.69,1.76,0.98718,100158.85,1440.43,0.90849,3.54,0.0,1.0,24729219.0,8388.0,0.92963,41653.0,143.0,0.97028,269072813.0,1637180.0,0.95309,3066939.0,13228.0,0.96616,6593828.0,164.0,0.99977,1003265436.0,404.0,0.99983
M,H,H,L,namd_ID0000002,1,350,0.89744,872.93,1.53,0.98519,98718.42,1440.6,0.89543,3.54,0.0,1.0,24720831.0,461384.0,0.92932,41510.0,198.0,0.96695,267435633.0,1965582.0,0.94729,3053711.0,15950.0,0.96199,6593664.0,352.0,0.99974,1003265032.0,65936.0,0.99983
M,H,H,L,namd_ID0000002,1,345,0.88462,871.4,1.59,0.98347,97277.82,1440.58,0.88236,3.54,0.0,1.0,24259447.0,460254.0,0.91197,41312.0,162.0,0.96233,265470051.0,1284863.0,0.94033,3037761.0,10302.0,0.95697,6593312.0,200.0,0.99969,1003199096.0,0.0,0.99976
