atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,H,L,sassena_ID0000005,1,764,1.0,1266.71,5.67,1.0,108912.99,715.56,1.0,38.58,0.0,1.0,2476605.0,112.0,1.0,8066.0,16.0,1.0,878756815.0,55386.0,1.0,276418.0,304.0,1.0,6285264.0,0.0,1.0,512399008.0,0.0,1.0
M,H,H,L,sassena_ID0000005,1,759,0.99346,1261.04,5.48,0.99552,108197.43,715.8,0.99343,38.58,0.0,1.0,2476493.0,168.0,0.99995,8050.0,24.0,0.99802,878701429.0,55385.0,0.99994,276114.0,304.0,0.9989,6285264.0,0.0,1.0,512399008.0,0.0,1.0
M,H,H,L,sassena_ID0000005,1,754,0.98691,1255.56,5.9,0.9912,107481.63,715.55,0.98686,38.58,0.0,1.0,2476325.0,0.0,0.99989,8026.0,0.0,0.99504,878646044.0,55284.0,0.99987,275810.0,289.0,0.9978,6285264.0,0.0,1.0,512399008.0,0.0,1.0
M,H,H,L,sassena_ID0000005,1,749,0.98037,1249.66,5.65,0.98654,106766.08,715.92,0.98029,38.58,0.0,1.0,2476325.0,56.0,0.99989,8026.0,8.0,0.99504,878590760.0,55344.0,0.99981,275521.0,298.0,0.99675,6285264.0,8.0,1.0,512399008.0,0.0,1.0
M,H,H,L,sassena_ID0000005,1,744,0.97382,1244.01,5.74,0.98208,106050.16,715.89,0.97371,38.58,0.0,1.0,2476269.0,84.0,0.99986,8018.0,12.0,0.99405,878535416.0,55324.0,0.99975,275223.0,295.0,0.99568,6285256.0,4.0,1.0,512399008.0,65536.0,1.0
M,H,H,L,sassena_ID0000005,1,739,0.96728,1238.27,5.44,0.97755,105334.27,715.94,0.96714,38.58,0.0,1.0,2476185.0,168.0,0.99983,8006.0,24.0,0.99256,878480092.0,55403.0,0.99969,274928.0,307.0,0.99461,6285252.0,0.0,1.0,512333472.0,0.0,0.99987
M,H,H,L,sassena_ID0000005,1,734,0.96073,1232.83,5.87,0.97325,104618.33,715.42,0.96057,38.58,0.0,1.0,2476017.0,0.0,0.99976,7982.0,0.0,0.98959,878424689.0,55282.0,0.99962,274621.0,289.0,0.9935,6285252.0,0.0,1.0,512333472.0,0.0,0.99987
M,H,H,L,sassena_ID0000005,1,729,0.95419,1226.96,5.64,0.96862,103902.91,715.78,0.954,38.58,0.0,1.0,2476017.0,0.0,0.99976,7982.0,0.0,0.98959,878369407.0,55282.0,0.99956,274332.0,289.0,0.99245,6285252.0,0.0,1.0,512333472.0,0.0,0.99987
M,H,H,L,sassena_ID0000005,1,724,0.94764,1221.32,5.89,0.96417,103187.13,715.86,0.94743,38.58,0.0,1.0,2476017.0,56.0,0.99976,7982.0,8.0,0.98959,878314125.0,55302.0,0.9995,274043.0,292.0,0.99141,6285252.0,64.0,1.0,512333472.0,0.0,0.99987
M,H,H,L,sassena_ID0000005,1,719,0.9411,1215.43,5.78,0.95952,102471.27,715.64,0.94085,38.58,0.0,1.0,2475961.0,168.0,0.99974,7974.0,24.0,0.98859,878258823.0,55462.0,0.99943,273751.0,316.0,0.99035,6285188.0,36.0,0.99999,512333472.0,0.0,0.99987
