atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,L,L,namd_ID0000003,1,184,1.0,769.68,0.49,1.0,51272.11,1448.39,1.0,7.68,0.0,1.0,35003470.0,904932.0,1.0,7285.0,75.0,1.0,88297829.0,77610.0,1.0,1593659.0,335.0,1.0,6804304.0,20.0,1.0,988027736.0,65536.0,1.0
M,H,L,L,namd_ID0000003,1,179,0.97283,769.19,0.77,0.99936,49823.72,1441.6,0.97175,7.68,0.0,1.0,34098538.0,912606.0,0.97415,7210.0,276.0,0.9897,88220219.0,3931571.0,0.99912,1593324.0,31993.0,0.99979,6804284.0,392.0,1.0,987962200.0,71680.0,0.99993
M,H,L,L,namd_ID0000003,1,174,0.94565,768.42,0.61,0.99836,48382.12,1441.99,0.94363,7.68,0.0,1.0,33185932.0,905742.0,0.94808,6934.0,100.0,0.95182,84288648.0,536000.0,0.95459,1561331.0,4108.0,0.97971,6803892.0,32.0,0.99994,987890520.0,131072.0,0.99986
M,H,L,L,namd_ID0000003,1,169,0.91848,767.81,0.62,0.99757,46940.13,1443.03,0.91551,7.68,0.0,1.0,32280190.0,905576.0,0.9222,6834.0,76.0,0.93809,83752648.0,77963.0,0.94852,1557223.0,335.0,0.97714,6803860.0,16.0,0.99993,987759448.0,0.0,0.99973
M,H,L,L,namd_ID0000003,1,164,0.8913,767.19,0.55,0.99676,45497.1,1442.59,0.88737,7.68,0.0,1.0,31374614.0,904928.0,0.89633,6758.0,75.0,0.92766,83674685.0,77653.0,0.94764,1556888.0,335.0,0.97693,6803844.0,20.0,0.99993,987759448.0,65536.0,0.99973
M,H,L,L,namd_ID0000003,1,159,0.86413,766.64,0.94,0.99605,44054.51,1442.64,0.85923,7.68,0.0,1.0,30469686.0,914091.0,0.87048,6683.0,322.0,0.91736,83597032.0,4844628.0,0.94676,1556553.0,39415.0,0.97672,6803824.0,1596.0,0.99993,987693912.0,161792.0,0.99966
M,H,L,L,namd_ID0000003,1,154,0.83696,765.7,0.68,0.99483,42611.87,1442.05,0.83109,7.68,0.0,1.0,29555595.0,906835.0,0.84436,6361.0,134.0,0.87316,78752404.0,989574.0,0.8919,1517138.0,7823.0,0.95198,6802228.0,136.0,0.99969,987532120.0,24576.0,0.9995
M,H,L,L,namd_ID0000003,1,149,0.80978,765.02,0.52,0.99395,41169.82,1443.81,0.80297,7.68,0.0,1.0,28648760.0,904924.0,0.81845,6227.0,74.0,0.85477,77762830.0,77125.0,0.88069,1509315.0,333.0,0.94708,6802092.0,8.0,0.99967,987507544.0,131072.0,0.99947
M,H,L,L,namd_ID0000003,1,144,0.78261,764.5,0.63,0.99327,39726.01,1440.92,0.77481,7.68,0.0,1.0,27743836.0,452484.0,0.7926,6153.0,37.0,0.84461,77685705.0,72440.0,0.87981,1508982.0,311.0,0.94687,6802084.0,8.0,0.99967,987376472.0,0.0,0.99934
M,H,L,L,namd_ID0000003,1,139,0.75543,763.87,0.62,0.99245,38285.09,1442.05,0.7467,7.68,0.0,1.0,27291352.0,908534.0,0.77968,6116.0,130.0,0.83953,77613265.0,844627.0,0.87899,1508671.0,6623.0,0.94667,6802076.0,792.0,0.99967,987376472.0,66084.0,0.99934
M,H,L,L,namd_ID0000003,1,134,0.72826,763.25,0.79,0.99165,36843.04,1442.23,0.71858,7.68,0.0,1.0,26382818.0,906572.0,0.75372,5986.0,125.0,0.82169,76768638.0,1293187.0,0.86943,1502048.0,10351.0,0.94252,6801284.0,368.0,0.99956,987310388.0,137216.0,0.99927
M,H,L,L,namd_ID0000003,1,129,0.70109,762.46,0.66,0.99062,35400.81,1441.41,0.69045,7.68,0.0,1.0,25476246.0,904938.0,0.72782,5861.0,74.0,0.80453,75475451.0,77170.0,0.85478,1491697.0,333.0,0.93602,6800916.0,44.0,0.9995,987173172.0,0.0,0.99914
M,H,L,L,namd_ID0000003,1,124,0.67391,761.8,0.78,0.98976,33959.4,1441.67,0.66234,7.68,0.0,1.0,24571308.0,904914.0,0.70197,5787.0,74.0,0.79437,75398281.0,77223.0,0.85391,1491364.0,333.0,0.93581,6800872.0,304.0,0.9995,987173172.0,131072.0,0.99914
M,H,L,L,namd_ID0000003,1,119,0.64674,761.02,1.0,0.98875,32517.73,1440.97,0.63422,7.68,0.0,1.0,23666394.0,908116.0,0.67612,5713.0,139.0,0.78421,75321058.0,1095386.0,0.85303,1491031.0,8669.0,0.9356,6800568.0,1468.0,0.99945,987042100.0,131072.0,0.999
M,H,L,L,namd_ID0000003,1,114,0.61957,760.02,1.02,0.98745,31076.76,1441.15,0.60611,7.68,0.0,1.0,22758278.0,909826.0,0.65017,5574.0,206.0,0.76513,74225672.0,3169962.0,0.84063,1482362.0,25758.0,0.93016,6799100.0,1152.0,0.99924,986911028.0,6144.0,0.99887
M,H,L,L,namd_ID0000003,1,109,0.59239,759.0,0.87,0.98612,29635.61,1441.77,0.57801,7.68,0.0,1.0,21848452.0,904942.0,0.62418,5368.0,74.0,0.73686,71055710.0,77221.0,0.80473,1456604.0,333.0,0.914,6797948.0,20.0,0.99907,986904884.0,0.0,0.99886
M,H,L,L,namd_ID0000003,1,104,0.56522,758.13,1.02,0.98499,28193.84,1442.97,0.54989,7.68,0.0,1.0,20943510.0,904938.0,0.59833,5294.0,74.0,0.7267,70978489.0,76939.0,0.80385,1456271.0,333.0,0.91379,6797928.0,28.0,0.99906,986904884.0,65536.0,0.99886
M,H,L,L,namd_ID0000003,1,99,0.53804,757.11,0.99,0.98367,26750.87,1445.71,0.52174,7.68,0.0,1.0,20038572.0,905734.0,0.57247,5220.0,83.0,0.71654,70901550.0,81736.0,0.80298,1455938.0,351.0,0.91358,6797900.0,4.0,0.99906,986839348.0,65536.0,0.9988
M,H,L,L,namd_ID0000003,1,94,0.51087,756.12,1.47,0.98238,25305.16,1440.98,0.49355,7.68,0.0,1.0,19132838.0,462207.0,0.5466,5137.0,293.0,0.70515,70819814.0,5547728.0,0.80206,1455587.0,45240.0,0.91336,6797896.0,820.0,0.99906,986773812.0,0.0,0.99873
M,H,L,L,namd_ID0000003,1,89,0.4837,754.65,1.24,0.98047,23864.18,1441.12,0.46544,7.68,0.0,1.0,18670631.0,905576.0,0.53339,4844.0,76.0,0.66493,65272086.0,77821.0,0.73923,1410347.0,335.0,0.88497,6797076.0,36.0,0.99894,986773812.0,262144.0,0.99873
M,H,L,L,namd_ID0000003,1,84,0.45652,753.41,1.37,0.97886,22423.06,1441.1,0.43733,7.68,0.0,1.0,17765055.0,904944.0,0.50752,4768.0,74.0,0.6545,65194265.0,76957.0,0.73835,1410012.0,333.0,0.88476,6797040.0,36.0,0.99893,986511668.0,131072.0,0.99847
M,H,L,L,namd_ID0000003,1,79,0.42935,752.04,1.22,0.97708,20981.96,1453.97,0.40923,7.68,0.0,1.0,16860111.0,904917.0,0.48167,4694.0,75.0,0.64434,65117308.0,77235.0,0.73747,1409679.0,335.0,0.88455,6797004.0,540.0,0.99893,986380596.0,65536.0,0.99833
M,H,L,L,namd_ID0000003,1,73,0.39674,750.82,2.19,0.9755,19527.99,1440.78,0.38087,7.68,0.0,1.0,15955194.0,912346.0,0.45582,4619.0,293.0,0.63404,65040073.0,4939128.0,0.7366,1409344.0,40318.0,0.88434,6796464.0,2160.0,0.99885,986315060.0,83968.0,0.99827
M,H,L,L,namd_ID0000003,1,68,0.36957,748.63,1.86,0.97265,18087.21,1440.61,0.35277,7.68,0.0,1.0,15042848.0,904918.0,0.42975,4326.0,74.0,0.59382,60100945.0,76897.0,0.68066,1369026.0,333.0,0.85905,6794304.0,32.0,0.99853,986231092.0,65536.0,0.99818
