atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,H,L,L,sassena_ID0000006,1,34,1.0,357.41,5.64,1.0,3443.42,715.81,1.0,1.34,0.0,1.0,255619.0,1148.0,1.0,1910.0,164.0,1.0,101757061.0,55598.0,1.0,138376.0,415.0,1.0,3668052.0,504.0,1.0,507000296.0,0.0,1.0
M,H,L,L,sassena_ID0000006,1,29,0.85294,351.77,8.48,0.98422,2727.61,712.88,0.79212,1.34,0.0,1.0,254471.0,1299.0,0.99551,1746.0,162.0,0.91414,101701463.0,56152.0,0.99945,137961.0,420.0,0.997,3667548.0,484.0,0.99986,507000296.0,0.0,1.0
M,H,L,L,sassena_ID0000006,1,24,0.70588,343.29,14.16,0.96049,2014.73,707.25,0.5851,1.34,0.0,1.0,253172.0,1638.0,0.99043,1584.0,188.0,0.82932,101645311.0,56662.0,0.9989,137541.0,419.0,0.99397,3667064.0,748.0,0.99973,507000296.0,136.0,1.0
M,H,L,L,sassena_ID0000006,1,19,0.55882,329.13,36.54,0.92088,1307.48,754.5,0.3797,1.34,0.0,1.0,251534.0,2202.0,0.98402,1396.0,197.0,0.73089,101588649.0,58468.0,0.99834,137122.0,455.0,0.99094,3666316.0,8540.0,0.99953,507000160.0,307200.0,1.0
M,H,L,L,sassena_ID0000006,1,13,0.38235,292.59,292.57,0.81864,552.98,552.98,0.16059,1.34,1.34,1.0,249332.0,112448.0,0.9754,1199.0,1185.0,0.62775,101530181.0,101439236.0,0.99777,136667.0,136466.0,0.98765,3657776.0,3655488.0,0.9972,506692960.0,506571004.0,0.99939
M,H,L,L,sassena_ID0000006,1,5,0.14706,0.02,0.0,6.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136884.0,260.0,0.5355,14.0,1.0,0.00733,90945.0,538.0,0.00089,201.0,3.0,0.00145,2288.0,12.0,0.00062,121956.0,0.0,0.00024
M,H,L,L,sassena_ID0000006,1,0,0.0,0.02,0.02,6.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136624.0,136624.0,0.53448,13.0,13.0,0.00681,90407.0,90407.0,0.00089,198.0,198.0,0.00143,2276.0,2276.0,0.00062,121956.0,121956.0,0.00024
M,H,L,L,sassena_ID0000006,2,29,1.0,362.35,7.21,1.0,3198.56,736.84,1.0,2.93,0.0,1.0,253618.0,1238.0,1.0,1809.0,165.0,1.0,101358402.0,56420.0,1.0,134913.0,432.0,1.0,3668048.0,492.0,1.0,506923648.0,0.0,1.0
M,H,L,L,sassena_ID0000006,2,24,0.82759,355.14,10.96,0.9801,2461.72,710.3,0.76963,2.93,0.0,1.0,252380.0,1405.0,0.99512,1644.0,189.0,0.90879,101301982.0,55886.0,0.99944,134481.0,430.0,0.9968,3667556.0,236.0,0.99987,506923648.0,0.0,1.0
M,H,L,L,sassena_ID0000006,2,19,0.65517,344.18,19.62,0.94986,1751.42,702.01,0.54757,2.93,0.0,1.0,250975.0,1764.0,0.98958,1455.0,182.0,0.80431,101246096.0,57922.0,0.99889,134051.0,423.0,0.99361,3667320.0,2280.0,0.9998,506923648.0,104448.0,1.0
M,H,L,L,sassena_ID0000006,2,14,0.48276,324.56,75.23,0.89571,1049.41,804.48,0.32809,2.93,0.01,1.0,249211.0,30578.0,0.98262,1273.0,992.0,0.7037,101188174.0,19660288.0,0.99832,133628.0,103596.0,0.99048,3665040.0,509292.0,0.99918,506819200.0,713220.0,0.99979
M,H,L,L,sassena_ID0000006,2,9,0.31034,249.33,249.32,0.68809,244.93,244.93,0.07658,2.92,2.92,0.99659,218633.0,82001.0,0.86206,281.0,268.0,0.15533,81527886.0,81437471.0,0.80435,30032.0,29834.0,0.2226,3155748.0,3153444.0,0.86033,506105980.0,505984024.0,0.99839
M,H,L,L,sassena_ID0000006,2,0,0.0,0.01,0.01,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136632.0,136632.0,0.53873,13.0,13.0,0.00719,90415.0,90415.0,0.00089,198.0,198.0,0.00147,2304.0,2304.0,0.00063,121956.0,121956.0,0.00024
M,H,L,L,sassena_ID0000006,3,21,1.0,355.85,6.92,1.0,3003.11,714.35,1.0,39.4,0.0,1.0,254869.0,1182.0,1.0,1801.0,157.0,1.0,101808618.0,56073.0,1.0,138747.0,402.0,1.0,3666492.0,244.0,1.0,506857068.0,0.0,1.0
M,H,L,L,sassena_ID0000006,3,16,0.7619,348.93,10.99,0.98055,2288.76,710.15,0.76213,39.4,0.0,1.0,253687.0,1209.0,0.99536,1644.0,161.0,0.91283,101752545.0,55639.0,0.99945,138345.0,415.0,0.9971,3666248.0,248.0,0.99993,506857068.0,0.0,1.0
M,H,L,L,sassena_ID0000006,3,11,0.52381,337.94,21.89,0.94967,1578.61,703.3,0.52566,39.4,0.0,1.0,252478.0,1503.0,0.99062,1483.0,168.0,0.82343,101696906.0,57102.0,0.9989,137930.0,406.0,0.99411,3666000.0,3428.0,0.99987,506857068.0,67584.0,1.0
M,H,L,L,sassena_ID0000006,3,6,0.28571,316.05,124.39,0.88816,875.31,692.53,0.29147,39.4,10.88,1.0,250975.0,22042.0,0.98472,1315.0,501.0,0.73015,101639804.0,9008292.0,0.99834,137524.0,36913.0,0.99119,3662572.0,1017704.0,0.99893,506789484.0,140927700.0,0.99987
M,H,L,L,sassena_ID0000006,3,0,0.0,191.66,191.66,0.5386,182.78,182.78,0.06086,28.52,28.52,0.72386,228933.0,228933.0,0.89824,814.0,814.0,0.45197,92631512.0,92631512.0,0.90986,100611.0,100611.0,0.72514,2644868.0,2644868.0,0.72136,365861784.0,365861784.0,0.72182
M,H,L,L,sassena_ID0000006,4,29,1.0,354.61,7.14,1.0,3033.28,714.21,1.0,14.5,0.0,1.0,254456.0,1406.0,1.0,1772.0,189.0,1.0,101949958.0,56421.0,1.0,140035.0,435.0,1.0,3667348.0,16.0,1.0,506922580.0,0.0,1.0
M,H,L,L,sassena_ID0000006,4,24,0.82759,347.47,11.32,0.97987,2319.07,710.01,0.76454,14.5,0.0,1.0,253050.0,1293.0,0.99447,1583.0,173.0,0.89334,101893537.0,55867.0,0.99945,139600.0,430.0,0.99689,3667332.0,732.0,1.0,506922580.0,0.0,1.0
M,H,L,L,sassena_ID0000006,4,19,0.65517,336.15,22.02,0.94794,1609.06,700.41,0.53047,14.5,0.0,1.0,251757.0,1788.0,0.98939,1410.0,197.0,0.79571,101837670.0,57879.0,0.9989,139170.0,423.0,0.99382,3666600.0,2324.0,0.9998,506922580.0,49152.0,1.0
M,H,L,L,sassena_ID0000006,4,14,0.48276,314.13,103.1,0.88585,908.65,699.28,0.29956,14.5,2.23,1.0,249969.0,18031.0,0.98237,1213.0,333.0,0.68454,101779791.0,4961635.0,0.99833,138747.0,22777.0,0.9908,3664276.0,638476.0,0.99916,506873428.0,88180032.0,0.9999
M,H,L,L,sassena_ID0000006,4,8,0.27586,211.03,211.02,0.5951,209.37,209.37,0.06902,12.27,12.27,0.84621,231938.0,95298.0,0.91151,880.0,867.0,0.49661,96818156.0,96727738.0,0.94966,115970.0,115772.0,0.82815,3025800.0,3023540.0,0.82506,418693396.0,418636848.0,0.82595
M,H,L,L,sassena_ID0000006,4,0,0.0,0.01,0.01,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136640.0,136640.0,0.53699,13.0,13.0,0.00734,90418.0,90418.0,0.00089,198.0,198.0,0.00141,2260.0,2260.0,0.00062,56548.0,56548.0,0.00011
M,H,L,L,sassena_ID0000006,5,30,1.0,361.87,6.48,1.0,3152.14,714.9,1.0,36.67,0.0,1.0,259061.0,1182.0,1.0,1803.0,157.0,1.0,101367186.0,56171.0,1.0,134909.0,402.0,1.0,3668464.0,256.0,1.0,506988980.0,0.0,1.0
M,H,L,L,sassena_ID0000006,5,25,0.83333,355.39,10.02,0.98209,2437.24,711.19,0.7732,36.67,0.0,1.0,257879.0,1494.0,0.99544,1646.0,190.0,0.91292,101311015.0,56391.0,0.99945,134507.0,435.0,0.99702,3668208.0,484.0,0.99993,506988980.0,0.0,1.0
M,H,L,L,sassena_ID0000006,5,20,0.66667,345.37,18.35,0.9544,1726.05,702.85,0.54758,36.67,0.0,1.0,256385.0,1850.0,0.98967,1456.0,183.0,0.80754,101254624.0,57972.0,0.99889,134072.0,438.0,0.9938,3667724.0,3372.0,0.9998,506988980.0,208896.0,1.0
M,H,L,L,sassena_ID0000006,5,15,0.5,327.02,73.97,0.90369,1023.2,746.53,0.3246,36.67,1.35,1.0,254535.0,35544.0,0.98253,1273.0,1015.0,0.70605,101196652.0,86348399.0,0.99832,133634.0,110131.0,0.99055,3664352.0,679140.0,0.99888,506780084.0,18273200.0,0.99959
M,H,L,L,sassena_ID0000006,5,10,0.33333,253.05,253.04,0.69928,276.67,276.67,0.08777,35.32,35.32,0.96319,218991.0,82362.0,0.84533,258.0,245.0,0.14309,14848253.0,14757840.0,0.14648,23503.0,23305.0,0.17421,2985212.0,2982972.0,0.81375,488506884.0,488384800.0,0.96355
M,H,L,L,sassena_ID0000006,5,0,0.0,0.01,0.01,3.0e-05,0.0,0.0,0.0,0.0,0.0,0.0,136629.0,136629.0,0.5274,13.0,13.0,0.00721,90413.0,90413.0,0.00089,198.0,198.0,0.00147,2240.0,2240.0,0.00061,122084.0,122084.0,0.00024
