atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,H,H,namd_ID0000002,1,872,1.0,554.73,1.0,1.0,123931.31,720.14,1.0,19.59,0.0,1.0,15050887.0,6377.0,1.0,45802.0,120.0,1.0,290465872.0,1171736.0,1.0,3258483.0,9646.0,1.0,3381324.0,120.0,1.0,515777004.0,132.0,1.0
M,L,H,H,namd_ID0000002,1,867,0.99427,553.73,1.2,0.9982,123211.17,824.56,0.99419,19.59,0.0,1.0,15044510.0,7836.0,0.99958,45682.0,126.0,0.99738,289294136.0,913478.0,0.99597,3248837.0,7476.0,0.99704,3381204.0,88.0,0.99996,515776872.0,132.0,1.0
M,L,H,H,namd_ID0000002,1,862,0.98853,552.53,1.45,0.99603,122386.61,1083.32,0.98754,19.59,0.0,1.0,15036674.0,12653.0,0.99906,45556.0,197.0,0.99463,288380658.0,1687158.0,0.99282,3241361.0,13993.0,0.99475,3381116.0,140.0,0.99994,515776740.0,65536.0,1.0
M,L,H,H,namd_ID0000002,1,855,0.9805,551.08,0.0,0.99342,121303.29,0.0,0.97879,19.59,0.0,1.0,15024021.0,0.0,0.99821,45359.0,0.0,0.99033,286693500.0,0.0,0.98701,3227368.0,0.0,0.99045,3380976.0,0.0,0.9999,515711204.0,0.0,0.99987
M,L,H,H,namd_ID0000002,1,851,0.97592,551.08,0.94,0.99342,121303.29,720.06,0.97879,19.59,0.0,1.0,15024021.0,7704.0,0.99821,45359.0,122.0,0.99033,286693500.0,922275.0,0.98701,3227368.0,7567.0,0.99045,3380976.0,68.0,0.9999,515711204.0,0.0,0.99987
M,L,H,H,namd_ID0000002,1,846,0.97018,550.14,1.16,0.99173,120583.23,719.99,0.97298,19.59,0.0,1.0,15016317.0,5105.0,0.9977,45237.0,80.0,0.98766,285771225.0,541612.0,0.98384,3219801.0,4400.0,0.98813,3380908.0,52.0,0.99988,515711204.0,71680.0,0.99987
M,L,H,H,namd_ID0000002,1,841,0.96445,548.98,1.04,0.98963,119863.24,720.22,0.96717,19.59,0.0,1.0,15011212.0,6778.0,0.99736,45157.0,93.0,0.98592,285229613.0,430411.0,0.98197,3215401.0,3418.0,0.98678,3380856.0,48.0,0.99986,515639524.0,140.0,0.99973
M,L,H,H,namd_ID0000002,1,836,0.95872,547.94,0.91,0.98776,119143.02,720.05,0.96136,19.59,0.0,1.0,15004434.0,460248.0,0.99691,45064.0,165.0,0.98389,284799202.0,1083144.0,0.98049,3211983.0,8885.0,0.98573,3380808.0,128.0,0.99985,515639384.0,71812.0,0.99973
M,L,H,H,namd_ID0000002,1,831,0.95298,547.03,1.14,0.98612,118422.97,720.05,0.95555,19.59,0.0,1.0,14544186.0,5944.0,0.96633,44899.0,103.0,0.98028,283716058.0,1087558.0,0.97676,3203098.0,9013.0,0.983,3380680.0,140.0,0.99981,515567572.0,0.0,0.99959
M,L,H,H,namd_ID0000002,1,826,0.94725,545.89,1.11,0.98406,117702.92,719.97,0.94974,19.59,0.0,1.0,14538242.0,7519.0,0.96594,44796.0,116.0,0.97804,282628500.0,929807.0,0.97302,3194085.0,7659.0,0.98024,3380540.0,80.0,0.99977,515567572.0,131072.0,0.99959
M,L,H,H,namd_ID0000002,1,821,0.94151,544.78,0.91,0.98206,116982.95,720.09,0.94393,19.59,0.0,1.0,14530723.0,6619.0,0.96544,44680.0,106.0,0.9755,281698693.0,978242.0,0.96982,3186426.0,8039.0,0.97789,3380460.0,112.0,0.99974,515436500.0,0.0,0.99934
M,L,H,H,namd_ID0000002,1,816,0.93578,543.87,1.04,0.98042,116262.86,719.92,0.93812,19.59,0.0,1.0,14524104.0,6942.0,0.965,44574.0,119.0,0.97319,280720451.0,1025805.0,0.96645,3178387.0,8480.0,0.97542,3380348.0,60.0,0.99971,515436500.0,6276.0,0.99934
M,L,H,H,namd_ID0000002,1,811,0.93005,542.83,1.21,0.97855,115542.94,720.29,0.93231,19.59,0.0,1.0,14517162.0,8542.0,0.96454,44455.0,148.0,0.97059,279694646.0,1478143.0,0.96292,3169907.0,12284.0,0.97282,3380288.0,124.0,0.99969,515430224.0,55568.0,0.99933
M,L,H,H,namd_ID0000002,1,806,0.92431,541.62,0.98,0.97637,114822.65,720.1,0.9265,19.59,0.0,1.0,14508620.0,5836.0,0.96397,44307.0,103.0,0.96736,278216503.0,907141.0,0.95783,3157623.0,7440.0,0.96905,3380164.0,100.0,0.99966,515374656.0,0.0,0.99922
M,L,H,H,namd_ID0000002,1,801,0.91858,540.64,1.04,0.9746,114102.55,720.04,0.92069,19.59,0.0,1.0,14502784.0,7753.0,0.96358,44204.0,123.0,0.96511,277309362.0,871464.0,0.95471,3150183.0,7158.0,0.96676,3380064.0,100.0,0.99963,515374656.0,12288.0,0.99922
M,L,H,H,namd_ID0000002,1,796,0.91284,539.6,1.02,0.97273,113382.51,720.02,0.91488,19.59,0.0,1.0,14495031.0,6150.0,0.96307,44081.0,113.0,0.96243,276437898.0,1132800.0,0.95171,3143025.0,9367.0,0.96457,3379964.0,152.0,0.9996,515362368.0,73860.0,0.9992
M,L,H,H,namd_ID0000002,1,791,0.90711,538.58,1.06,0.97089,112662.49,719.94,0.90907,19.59,0.0,1.0,14488881.0,9050.0,0.96266,43968.0,138.0,0.95996,275305098.0,1147955.0,0.94781,3133658.0,9464.0,0.96169,3379812.0,140.0,0.99955,515288508.0,182272.0,0.99905
