atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,H,H,sassena_ID0000005,1,1418,1.0,1507.74,4.68,1.0,100741.43,356.0,1.0,12.68,0.0,1.0,4337651.0,0.0,1.0,6438.0,0.0,1.0,443754426.0,28124.0,1.0,148970.0,163.0,1.0,3095156.0,0.0,1.0,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1413,0.99647,1503.06,4.61,0.9969,100385.43,356.06,0.99647,12.68,0.0,1.0,4337651.0,308.0,1.0,6438.0,44.0,1.0,443726302.0,28004.0,0.99994,148807.0,145.0,0.99891,3095156.0,180.0,1.0,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1408,0.99295,1498.45,4.56,0.99384,100029.37,355.95,0.99293,12.68,0.0,1.0,4337343.0,28.0,0.99993,6394.0,4.0,0.99317,443698298.0,28244.0,0.99987,148662.0,181.0,0.99793,3094976.0,0.0,0.99994,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1403,0.98942,1493.89,4.54,0.99081,99673.42,356.19,0.9894,12.68,0.0,1.0,4337315.0,0.0,0.99992,6390.0,0.0,0.99254,443670054.0,28004.0,0.99981,148481.0,145.0,0.99672,3094976.0,0.0,0.99994,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1398,0.9859,1489.35,4.42,0.9878,99317.23,356.32,0.98586,12.68,0.0,1.0,4337315.0,0.0,0.99992,6390.0,0.0,0.99254,443642050.0,28004.0,0.99975,148336.0,145.0,0.99574,3094976.0,0.0,0.99994,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1393,0.98237,1484.93,4.6,0.98487,98960.91,356.12,0.98233,12.68,0.0,1.0,4337315.0,112.0,0.99992,6390.0,16.0,0.99254,443614046.0,28004.0,0.99968,148191.0,145.0,0.99477,3094976.0,0.0,0.99994,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1388,0.97884,1480.33,4.75,0.98182,98604.79,355.88,0.97879,12.68,0.0,1.0,4337203.0,56.0,0.9999,6374.0,8.0,0.99006,443586042.0,28124.0,0.99962,148046.0,163.0,0.9938,3094976.0,0.0,0.99994,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1383,0.97532,1475.58,4.78,0.97867,98248.91,355.84,0.97526,12.68,0.0,1.0,4337147.0,168.0,0.99988,6366.0,24.0,0.98882,443557918.0,28124.0,0.99956,147883.0,163.0,0.9927,3094976.0,8.0,0.99994,256875708.0,0.0,1.0
M,L,H,H,sassena_ID0000005,1,1378,0.97179,1470.8,4.57,0.9755,97893.07,356.11,0.97173,12.68,0.0,1.0,4336979.0,0.0,0.99985,6342.0,0.0,0.98509,443529794.0,28004.0,0.99949,147720.0,145.0,0.99161,3094968.0,4.0,0.99994,256875708.0,65536.0,1.0
M,L,H,H,sassena_ID0000005,1,1373,0.96827,1466.23,4.44,0.97247,97536.96,356.14,0.96819,12.68,0.0,1.0,4336979.0,336.0,0.99985,6342.0,48.0,0.98509,443501790.0,28124.0,0.99943,147575.0,163.0,0.99064,3094964.0,52.0,0.99994,256810172.0,0.0,0.99974
