atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,H,L,sassena_ID0000005,1,2912,1.0,1823.08,2.85,1.0,207867.87,357.88,1.0,13.3,0.0,1.0,9946753.0,140.0,1.0,8418.0,20.0,1.0,879526780.0,27868.0,1.0,240809.0,160.0,1.0,4533428.0,0.0,1.0,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2907,0.99828,1820.23,2.85,0.99844,207509.99,357.91,0.99828,13.3,0.0,1.0,9946613.0,28.0,0.99999,8398.0,4.0,0.99762,879498912.0,27768.0,0.99997,240649.0,145.0,0.99934,4533428.0,24.0,1.0,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2902,0.99657,1817.38,2.79,0.99687,207152.08,357.9,0.99656,13.3,0.0,1.0,9946585.0,112.0,0.99998,8394.0,16.0,0.99715,879471144.0,27888.0,0.99994,240504.0,163.0,0.99873,4533404.0,4.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2897,0.99485,1814.59,2.71,0.99534,206794.18,357.97,0.99483,13.3,0.0,1.0,9946473.0,56.0,0.99997,8378.0,8.0,0.99525,879443256.0,27768.0,0.99991,240341.0,145.0,0.99806,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2892,0.99313,1811.88,2.78,0.99386,206436.21,358.06,0.99311,13.3,0.0,1.0,9946417.0,0.0,0.99997,8370.0,0.0,0.9943,879415488.0,27768.0,0.99987,240196.0,145.0,0.99745,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2887,0.99141,1809.1,2.62,0.99233,206078.15,360.83,0.99139,13.3,0.0,1.0,9946417.0,0.0,0.99997,8370.0,0.0,0.9943,879387720.0,27768.0,0.99984,240051.0,145.0,0.99685,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2882,0.9897,1806.48,2.83,0.99089,205717.32,357.96,0.98965,13.3,0.0,1.0,9946417.0,0.0,0.99997,8370.0,0.0,0.9943,879359952.0,27768.0,0.99981,239906.0,145.0,0.99625,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2877,0.98798,1803.65,2.81,0.98934,205359.36,357.9,0.98793,13.3,0.0,1.0,9946417.0,28.0,0.99997,8370.0,4.0,0.9943,879332184.0,27808.0,0.99978,239761.0,151.0,0.99565,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2872,0.98626,1800.84,2.78,0.9878,205001.46,357.94,0.98621,13.3,0.0,1.0,9946389.0,112.0,0.99996,8366.0,16.0,0.99382,879304376.0,27848.0,0.99975,239610.0,157.0,0.99502,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2867,0.98455,1798.06,2.65,0.98628,204643.52,358.02,0.98449,13.3,0.0,1.0,9946277.0,28.0,0.99995,8350.0,4.0,0.99192,879276528.0,27761.0,0.99972,239453.0,145.0,0.99437,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2862,0.98283,1795.41,2.93,0.98482,204285.5,368.15,0.98277,13.3,0.0,1.0,9946249.0,0.0,0.99995,8346.0,0.0,0.99145,879248767.0,27768.0,0.99968,239308.0,145.0,0.99377,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2857,0.98111,1792.48,2.76,0.98322,203917.35,357.86,0.981,13.3,0.0,1.0,9946249.0,0.0,0.99995,8346.0,0.0,0.99145,879220999.0,27768.0,0.99965,239163.0,145.0,0.99316,4533400.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2852,0.9794,1789.72,2.67,0.9817,203559.49,357.93,0.97927,13.3,0.0,1.0,9946249.0,0.0,0.99995,8346.0,0.0,0.99145,879193231.0,27768.0,0.99962,239018.0,145.0,0.99256,4533400.0,4.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2847,0.97768,1787.05,2.9,0.98024,203201.56,357.83,0.97755,13.3,0.0,1.0,9946249.0,0.0,0.99995,8346.0,0.0,0.99145,879165463.0,27768.0,0.99959,238873.0,145.0,0.99196,4533396.0,0.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2842,0.97596,1784.15,2.78,0.97865,202843.73,357.84,0.97583,13.3,0.0,1.0,9946249.0,28.0,0.99995,8346.0,4.0,0.99145,879137695.0,27888.0,0.99956,238728.0,163.0,0.99136,4533396.0,60.0,0.99999,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2837,0.97424,1781.37,2.73,0.97712,202485.89,358.04,0.97411,13.3,0.0,1.0,9946221.0,140.0,0.99995,8342.0,20.0,0.99097,879109807.0,27768.0,0.99953,238565.0,145.0,0.99068,4533336.0,12.0,0.99998,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2832,0.97253,1778.64,2.95,0.97562,202127.85,357.8,0.97239,13.3,0.0,1.0,9946081.0,28.0,0.99993,8322.0,4.0,0.9886,879082039.0,27888.0,0.99949,238420.0,163.0,0.99008,4533324.0,12.0,0.99998,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2827,0.97081,1775.69,2.78,0.97401,201770.05,357.92,0.97066,13.3,0.0,1.0,9946053.0,140.0,0.99993,8318.0,20.0,0.98812,879054151.0,27768.0,0.99946,238257.0,145.0,0.9894,4533312.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2822,0.96909,1772.91,2.79,0.97248,201412.13,357.91,0.96894,13.3,0.0,1.0,9945913.0,28.0,0.99992,8298.0,4.0,0.98574,879026383.0,27888.0,0.99943,238112.0,163.0,0.9888,4533312.0,8.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2817,0.96738,1770.12,2.74,0.97095,201054.22,357.93,0.96722,13.3,0.0,1.0,9945885.0,140.0,0.99991,8294.0,20.0,0.98527,878998495.0,27768.0,0.9994,237949.0,145.0,0.98812,4533304.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2812,0.96566,1767.38,2.7,0.96945,200696.29,358.06,0.9655,13.3,0.0,1.0,9945745.0,0.0,0.9999,8274.0,0.0,0.98289,878970727.0,27768.0,0.99937,237804.0,145.0,0.98752,4533304.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2807,0.96394,1764.68,2.76,0.96797,200338.23,357.94,0.96378,13.3,0.0,1.0,9945745.0,0.0,0.9999,8274.0,0.0,0.98289,878942959.0,27768.0,0.99934,237659.0,145.0,0.98692,4533304.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2802,0.96223,1761.92,2.75,0.96645,199980.29,357.87,0.96205,13.3,0.0,1.0,9945745.0,0.0,0.9999,8274.0,0.0,0.98289,878915191.0,27768.0,0.9993,237514.0,145.0,0.98632,4533304.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2797,0.96051,1759.17,2.85,0.96494,199622.42,357.76,0.96033,13.3,0.0,1.0,9945745.0,28.0,0.9999,8274.0,4.0,0.98289,878887423.0,27808.0,0.99927,237369.0,151.0,0.98571,4533304.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2792,0.95879,1756.32,3.04,0.96338,199264.66,361.85,0.95861,13.3,0.0,1.0,9945717.0,56.0,0.9999,8270.0,8.0,0.98242,878859615.0,27848.0,0.99924,237218.0,157.0,0.98509,4533304.0,0.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2786,0.95673,1753.28,2.79,0.96171,198902.81,357.84,0.95687,13.3,0.0,1.0,9945661.0,84.0,0.99989,8262.0,12.0,0.98147,878831767.0,27768.0,0.99921,237061.0,145.0,0.98444,4533304.0,8.0,0.99997,259187248.0,0.0,1.0
M,L,H,L,sassena_ID0000005,1,2781,0.95501,1750.49,2.7,0.96018,198544.97,358.03,0.95515,13.3,0.0,1.0,9945577.0,0.0,0.99988,8250.0,0.0,0.98004,878803999.0,27768.0,0.99918,236916.0,145.0,0.98383,4533296.0,4.0,0.99997,259187248.0,65536.0,1.0
M,L,H,L,sassena_ID0000005,1,2776,0.9533,1747.79,3.01,0.9587,198186.94,357.71,0.95343,13.3,0.0,1.0,9945577.0,0.0,0.99988,8250.0,0.0,0.98004,878776231.0,27768.0,0.99915,236771.0,145.0,0.98323,4533292.0,0.0,0.99997,259121712.0,0.0,0.99975
M,L,H,L,sassena_ID0000005,1,2771,0.95158,1744.78,2.72,0.95705,197829.23,357.9,0.95171,13.3,0.0,1.0,9945577.0,0.0,0.99988,8250.0,0.0,0.98004,878748463.0,27768.0,0.99912,236626.0,145.0,0.98263,4533292.0,0.0,0.99997,259121712.0,0.0,0.99975
M,L,H,L,sassena_ID0000005,1,2766,0.94986,1742.06,2.79,0.95556,197471.33,357.84,0.94998,13.3,0.0,1.0,9945577.0,0.0,0.99988,8250.0,0.0,0.98004,878720695.0,27768.0,0.99908,236481.0,145.0,0.98203,4533292.0,0.0,0.99997,259121712.0,0.0,0.99975
M,L,H,L,sassena_ID0000005,1,2761,0.94815,1739.27,2.95,0.95403,197113.49,357.68,0.94826,13.3,0.0,1.0,9945577.0,0.0,0.99988,8250.0,0.0,0.98004,878692927.0,27761.0,0.99905,236336.0,145.0,0.98143,4533292.0,8.0,0.99997,259121712.0,0.0,0.99975
M,L,H,L,sassena_ID0000005,1,2756,0.94643,1736.32,2.94,0.95241,196755.81,357.99,0.94654,13.3,0.0,1.0,9945577.0,84.0,0.99988,8250.0,12.0,0.98004,878665166.0,27888.0,0.99902,236191.0,163.0,0.98082,4533284.0,4.0,0.99997,259121712.0,65536.0,0.99975
M,L,H,L,sassena_ID0000005,1,2751,0.94471,1733.38,2.86,0.9508,196397.82,357.94,0.94482,13.3,0.0,1.0,9945493.0,84.0,0.99987,8238.0,12.0,0.97862,878637278.0,27788.0,0.99899,236028.0,148.0,0.98015,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2746,0.94299,1730.52,2.66,0.94923,196039.88,358.13,0.9431,13.3,0.0,1.0,9945409.0,168.0,0.99986,8226.0,24.0,0.97719,878609490.0,27868.0,0.99896,235880.0,160.0,0.97953,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2741,0.94128,1727.86,2.75,0.94777,195681.75,357.92,0.94138,13.3,0.0,1.0,9945241.0,0.0,0.99985,8202.0,0.0,0.97434,878581622.0,27768.0,0.99893,235720.0,145.0,0.97887,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2736,0.93956,1725.11,2.73,0.94626,195323.83,357.93,0.93965,13.3,0.0,1.0,9945241.0,140.0,0.99985,8202.0,20.0,0.97434,878553854.0,27888.0,0.99889,235575.0,163.0,0.97826,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2731,0.93784,1722.38,2.82,0.94476,194965.9,357.86,0.93793,13.3,0.0,1.0,9945101.0,28.0,0.99983,8182.0,4.0,0.97196,878525966.0,27768.0,0.99886,235412.0,145.0,0.97759,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2726,0.93613,1719.56,2.78,0.94322,194608.04,357.89,0.93621,13.3,0.0,1.0,9945073.0,0.0,0.99983,8178.0,0.0,0.97149,878498198.0,27768.0,0.99883,235267.0,145.0,0.97699,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2721,0.93441,1716.78,2.68,0.94169,194250.15,358.63,0.93449,13.3,0.0,1.0,9945073.0,0.0,0.99983,8178.0,0.0,0.97149,878470430.0,27768.0,0.9988,235122.0,145.0,0.97638,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2716,0.93269,1714.1,2.84,0.94022,193891.52,357.82,0.93276,13.3,0.0,1.0,9945073.0,0.0,0.99983,8178.0,0.0,0.97149,878442662.0,27768.0,0.99877,234977.0,145.0,0.97578,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2711,0.93098,1711.26,2.79,0.93866,193533.7,358.05,0.93104,13.3,0.0,1.0,9945073.0,56.0,0.99983,8178.0,8.0,0.97149,878414894.0,27888.0,0.99874,234832.0,163.0,0.97518,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2706,0.92926,1708.47,2.67,0.93713,193175.65,357.94,0.92932,13.3,0.0,1.0,9945017.0,112.0,0.99983,8170.0,16.0,0.97054,878387006.0,27768.0,0.9987,234669.0,145.0,0.9745,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2701,0.92754,1705.8,2.63,0.93567,192817.71,359.67,0.9276,13.3,0.0,1.0,9944905.0,0.0,0.99981,8154.0,0.0,0.96864,878359238.0,27768.0,0.99867,234524.0,145.0,0.9739,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2696,0.92582,1703.17,2.77,0.93423,192458.04,357.79,0.92587,13.3,0.0,1.0,9944905.0,0.0,0.99981,8154.0,0.0,0.96864,878331470.0,27768.0,0.99864,234379.0,145.0,0.9733,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2691,0.92411,1700.4,2.67,0.93271,192100.25,358.03,0.92415,13.3,0.0,1.0,9944905.0,0.0,0.99981,8154.0,0.0,0.96864,878303702.0,27768.0,0.99861,234234.0,145.0,0.9727,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2686,0.92239,1697.73,2.62,0.93124,191742.22,358.06,0.92242,13.3,0.0,1.0,9944905.0,0.0,0.99981,8154.0,0.0,0.96864,878275934.0,27768.0,0.99858,234089.0,145.0,0.97209,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
M,L,H,L,sassena_ID0000005,1,2681,0.92067,1695.11,2.88,0.92981,191384.16,357.88,0.9207,13.3,0.0,1.0,9944905.0,0.0,0.99981,8154.0,0.0,0.96864,878248166.0,27768.0,0.99855,233944.0,145.0,0.97149,4533280.0,0.0,0.99997,259056176.0,0.0,0.99949
