atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,H,namd_ID0000002,1,86,1.0,384.77,1.44,1.0,12412.71,719.77,1.0,2.67,0.0,1.0,6705157.0,7983.0,1.0,26936.0,170.0,1.0,128441328.0,1768226.0,1.0,1925564.0,14668.0,1.0,3371340.0,508.0,1.0,510257164.0,380928.0,1.0
M,L,L,H,namd_ID0000002,1,81,0.94186,383.33,1.35,0.99626,11692.94,719.71,0.94201,2.67,0.0,1.0,6697174.0,11680.0,0.99881,26766.0,246.0,0.99369,126673102.0,1721714.0,0.98623,1910896.0,14241.0,0.99238,3370832.0,748.0,0.99985,509876236.0,545216.0,0.99925
M,L,L,H,namd_ID0000002,1,76,0.88372,381.98,1.54,0.99275,10973.23,719.64,0.88403,2.67,0.0,1.0,6685494.0,6601.0,0.99707,26520.0,127.0,0.98456,124951388.0,960331.0,0.97283,1896655.0,7885.0,0.98499,3370084.0,648.0,0.99963,509331020.0,12288.0,0.99818
M,L,L,H,namd_ID0000002,1,71,0.82558,380.44,1.5,0.98875,10253.59,719.94,0.82606,2.67,0.0,1.0,6678893.0,8869.0,0.99608,26393.0,158.0,0.97984,123991057.0,1230440.0,0.96535,1888770.0,10114.0,0.98089,3369436.0,584.0,0.99944,509318732.0,86016.0,0.99816
M,L,L,H,namd_ID0000002,1,66,0.76744,378.94,1.53,0.98485,9533.65,719.81,0.76806,2.67,0.0,1.0,6670024.0,6832.0,0.99476,26235.0,134.0,0.97398,122760617.0,1442161.0,0.95577,1878656.0,11925.0,0.97564,3368852.0,348.0,0.99926,509232716.0,43148.0,0.99799
M,L,L,H,namd_ID0000002,1,61,0.7093,377.41,1.67,0.98087,8813.84,719.8,0.71007,2.67,0.0,1.0,6663192.0,462744.0,0.99374,26101.0,261.0,0.969,121318456.0,1768637.0,0.94454,1866731.0,14595.0,0.96945,3368504.0,356.0,0.99916,509189568.0,233604.0,0.99791
M,L,L,H,namd_ID0000002,1,56,0.65116,375.74,1.78,0.97653,8094.04,719.97,0.65208,2.67,0.0,1.0,6200448.0,7217.0,0.92473,25840.0,146.0,0.95931,119549819.0,1445907.0,0.93077,1852136.0,11974.0,0.96187,3368148.0,812.0,0.99905,508955964.0,231424.0,0.99745
M,L,L,H,namd_ID0000002,1,51,0.59302,373.96,1.98,0.97191,7374.07,719.59,0.59407,2.67,0.0,1.0,6193231.0,14474.0,0.92365,25694.0,333.0,0.95389,118103912.0,2472354.0,0.91952,1840162.0,20544.0,0.95565,3367336.0,1264.0,0.99881,508724540.0,461340.0,0.997
M,L,L,H,namd_ID0000002,1,46,0.53488,371.98,2.18,0.96676,6654.48,718.89,0.5361,2.67,0.0,1.0,6178757.0,8275.0,0.92149,25361.0,179.0,0.94153,115631558.0,1707140.0,0.90027,1819618.0,14145.0,0.94498,3366072.0,668.0,0.99844,508263200.0,335872.0,0.99609
M,L,L,H,namd_ID0000002,1,41,0.47674,369.8,2.53,0.96109,5935.59,718.79,0.47819,2.67,0.0,1.0,6170482.0,13342.0,0.92026,25182.0,301.0,0.93488,113924418.0,2714438.0,0.88698,1805473.0,22522.0,0.93763,3365404.0,1392.0,0.99824,507927328.0,694952.0,0.99543
M,L,L,H,namd_ID0000002,1,36,0.4186,367.27,3.11,0.95452,5216.8,718.43,0.42028,2.67,0.0,1.0,6157140.0,13036.0,0.91827,24881.0,325.0,0.92371,111209980.0,2885860.0,0.86584,1782951.0,24008.0,0.92594,3364012.0,764.0,0.99783,507232376.0,956548.0,0.99407
M,L,L,H,namd_ID0000002,1,31,0.36047,364.16,3.76,0.94644,4498.37,717.41,0.3624,2.67,0.0,1.0,6144104.0,14902.0,0.91633,24556.0,368.0,0.91164,108324120.0,3358429.0,0.84337,1758943.0,27975.0,0.91347,3363248.0,1544.0,0.9976,506275828.0,694676.0,0.9922
M,L,L,H,namd_ID0000002,1,26,0.30233,360.4,5.13,0.93666,3780.96,735.05,0.3046,2.67,0.0,1.0,6129202.0,21912.0,0.9141,24188.0,584.0,0.89798,104965691.0,4974563.0,0.81723,1730968.0,41349.0,0.89894,3361704.0,5088.0,0.99714,505581152.0,1475236.0,0.99084
M,L,L,H,namd_ID0000002,1,21,0.24419,355.27,9.19,0.92333,3045.91,729.77,0.24539,2.67,0.0,1.0,6107290.0,280656.0,0.91083,23604.0,2622.0,0.8763,99991128.0,8285478.0,0.7785,1689619.0,65746.0,0.87747,3356616.0,23928.0,0.99563,504105916.0,4242592.0,0.98794
M,L,L,H,namd_ID0000002,1,15,0.17442,346.08,8.57,0.89945,2316.14,692.93,0.18659,2.67,0.0,1.0,5826634.0,417461.0,0.86898,20982.0,3026.0,0.77896,91705650.0,7867241.0,0.71399,1623873.0,61723.0,0.84332,3332688.0,0.0,0.98854,499863324.0,0.0,0.97963
M,L,L,H,namd_ID0000002,1,10,0.11628,337.51,21.3,0.87717,1623.21,701.5,0.13077,2.67,0.0,1.0,5409173.0,413611.0,0.80672,17956.0,2949.0,0.66662,83838409.0,8350842.0,0.65274,1562150.0,65699.0,0.81127,3332688.0,8976.0,0.98854,499863324.0,1169036.0,0.97963
M,L,L,H,namd_ID0000002,1,5,0.05814,316.21,102.01,0.82182,921.71,697.87,0.07426,2.67,0.11,1.0,4995562.0,492025.0,0.74503,15007.0,9108.0,0.55714,75487567.0,39566164.0,0.58772,1496451.0,323903.0,0.77715,3323712.0,690476.0,0.98587,498694288.0,94176256.0,0.97734
M,L,L,H,namd_ID0000002,1,0,0.0,214.2,214.2,0.5567,223.84,223.84,0.01803,2.56,2.56,0.9588,4503537.0,4503537.0,0.67165,5899.0,5899.0,0.219,35921403.0,35921403.0,0.27967,1172548.0,1172548.0,0.60894,2633236.0,2633236.0,0.78107,404518032.0,404518032.0,0.79277
M,L,L,H,namd_ID0000002,2,88,1.0,387.63,1.53,1.0,12258.9,719.6,1.0,24.23,0.0,1.0,6715540.0,7242.0,1.0,27007.0,126.0,1.0,126267677.0,1127306.0,1.0,1907826.0,9250.0,1.0,3373824.0,84.0,1.0,510389292.0,6144.0,1.0
M,L,L,H,namd_ID0000002,2,83,0.94318,386.1,1.53,0.99605,11539.3,719.84,0.9413,24.23,0.0,1.0,6708298.0,6343.0,0.99892,26881.0,101.0,0.99533,125140371.0,855577.0,0.99107,1898576.0,7018.0,0.99515,3373740.0,104.0,0.99998,510383148.0,73864.0,0.99999
M,L,L,H,namd_ID0000002,2,78,0.88636,384.57,1.54,0.99211,10819.46,719.64,0.88258,24.23,0.0,1.0,6701955.0,6799.0,0.99798,26780.0,112.0,0.99159,124284794.0,1130951.0,0.9843,1891558.0,9296.0,0.99147,3373636.0,140.0,0.99994,510309284.0,6144.0,0.99984
M,L,L,H,namd_ID0000002,2,73,0.82955,383.03,1.61,0.98813,10099.82,719.65,0.82388,24.23,0.0,1.0,6695156.0,7404.0,0.99696,26668.0,134.0,0.98745,123153843.0,1184192.0,0.97534,1882262.0,9785.0,0.9866,3373496.0,328.0,0.9999,510303140.0,71680.0,0.99983
M,L,L,H,namd_ID0000002,2,68,0.77273,381.42,1.75,0.98398,9380.17,719.53,0.76517,24.23,0.0,1.0,6687752.0,8652.0,0.99586,26534.0,152.0,0.98249,121969651.0,1195875.0,0.96596,1872477.0,9885.0,0.98147,3373168.0,656.0,0.99981,510231460.0,79872.0,0.99969
