atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,L,namd_ID0000002,1,85,1.0,392.51,1.43,1.0,12466.99,719.65,1.0,5.86,0.0,1.0,9424139.0,8287.0,1.0,27152.0,140.0,1.0,125394997.0,1248898.0,1.0,1900608.0,10316.0,1.0,3369012.0,656.0,1.0,511818616.0,215172.0,1.0
M,L,L,L,namd_ID0000002,1,80,0.94118,391.08,1.53,0.99636,11747.34,719.57,0.94228,5.86,0.0,1.0,9415852.0,458852.0,0.99912,27012.0,154.0,0.99484,124146099.0,1250172.0,0.99004,1890292.0,10341.0,0.99457,3368356.0,244.0,0.99981,511603444.0,12288.0,0.99958
M,L,L,L,namd_ID0000002,1,75,0.88235,389.55,1.49,0.99246,11027.77,719.55,0.88456,5.86,0.0,1.0,8957000.0,7843.0,0.95043,26858.0,126.0,0.98917,122895927.0,1070057.0,0.98007,1879951.0,8763.0,0.98913,3368112.0,344.0,0.99973,511591156.0,24840.0,0.99956
M,L,L,L,namd_ID0000002,1,70,0.82353,388.06,1.72,0.98866,10308.22,719.42,0.82684,5.86,0.0,1.0,8949157.0,459753.0,0.9496,26732.0,160.0,0.98453,121825870.0,1133326.0,0.97154,1871188.0,9288.0,0.98452,3367768.0,176.0,0.99963,511566316.0,307200.0,0.99951
M,L,L,L,namd_ID0000002,1,65,0.76471,386.34,1.7,0.98428,9588.8,719.73,0.76914,5.86,0.0,1.0,8489404.0,7350.0,0.90081,26572.0,132.0,0.97864,120692544.0,1126903.0,0.9625,1861900.0,9294.0,0.97963,3367592.0,472.0,0.99958,511259116.0,362632.0,0.99891
M,L,L,L,namd_ID0000002,1,60,0.70588,384.64,1.82,0.97995,8869.07,719.34,0.7114,5.86,0.0,1.0,8482054.0,460257.0,0.90003,26440.0,172.0,0.97378,119565641.0,1398295.0,0.95351,1852606.0,11497.0,0.97474,3367120.0,824.0,0.99944,510896484.0,213260.0,0.9982
M,L,L,L,namd_ID0000002,1,55,0.64706,382.82,2.04,0.97531,8149.73,719.52,0.6537,5.86,0.0,1.0,8021797.0,7358.0,0.8512,26268.0,132.0,0.96744,118167346.0,1187066.0,0.94236,1841109.0,9819.0,0.96869,3366296.0,1324.0,0.99919,510683224.0,61440.0,0.99778
M,L,L,L,namd_ID0000002,1,50,0.58824,380.78,2.26,0.97012,7430.21,733.74,0.59599,5.86,0.0,1.0,8014439.0,460196.0,0.85042,26136.0,170.0,0.96258,116980280.0,1342571.0,0.93289,1831290.0,11025.0,0.96353,3364972.0,572.0,0.9988,510621784.0,12288.0,0.99766
M,L,L,L,namd_ID0000002,1,45,0.52941,378.52,2.45,0.96436,6696.47,718.7,0.53714,5.86,0.0,1.0,7554243.0,7421.0,0.80158,25966.0,134.0,0.95632,115637709.0,1394670.0,0.92219,1820265.0,11542.0,0.95773,3364400.0,1864.0,0.99863,510609496.0,423936.0,0.99764
M,L,L,L,namd_ID0000002,1,40,0.47059,376.07,2.83,0.95812,5977.77,718.29,0.47949,5.86,0.0,1.0,7546822.0,461371.0,0.8008,25832.0,207.0,0.95138,114243039.0,1730677.0,0.91107,1808723.0,14321.0,0.95165,3362536.0,1372.0,0.99808,510185560.0,344204.0,0.99681
M,L,L,L,namd_ID0000002,1,35,0.41176,373.24,3.49,0.95091,5259.48,717.83,0.42187,5.86,0.0,1.0,7085451.0,9435.0,0.75184,25625.0,197.0,0.94376,112512362.0,1766307.0,0.89726,1794402.0,14673.0,0.94412,3361164.0,880.0,0.99767,509841356.0,329996.0,0.99614
M,L,L,L,namd_ID0000002,1,30,0.35294,369.75,4.07,0.94201,4541.65,717.17,0.36429,5.86,0.0,1.0,7076016.0,467547.0,0.75084,25428.0,382.0,0.93651,110746055.0,3325238.0,0.88318,1779729.0,27676.0,0.9364,3360284.0,2320.0,0.99741,509511360.0,1044752.0,0.99549
M,L,L,L,namd_ID0000002,1,25,0.29412,365.68,5.37,0.93165,3824.48,715.64,0.30677,5.86,0.0,1.0,6608469.0,20753.0,0.70123,25046.0,566.0,0.92244,107420817.0,4628919.0,0.85666,1752053.0,38594.0,0.92184,3357964.0,3780.0,0.99672,508466608.0,2095912.0,0.99345
M,L,L,L,namd_ID0000002,1,20,0.23529,360.31,7.53,0.91796,3108.84,713.34,0.24937,5.86,0.01,1.0,6587716.0,758502.0,0.69903,24480.0,3175.0,0.90159,102791898.0,10242340.0,0.81974,1713459.0,82040.0,0.90153,3354184.0,15348.0,0.9956,506370696.0,3199196.0,0.98936
M,L,L,L,namd_ID0000002,1,15,0.17647,352.78,11.35,0.89878,2395.5,709.16,0.19215,5.85,0.0,0.99829,5829214.0,430480.0,0.61854,21305.0,3552.0,0.78466,92549558.0,8725797.0,0.73806,1631419.0,68955.0,0.85837,3338836.0,9140.0,0.99104,503171500.0,2729340.0,0.98311
M,L,L,L,namd_ID0000002,1,10,0.11765,341.43,20.93,0.86986,1686.34,699.84,0.13526,5.85,0.0,0.99829,5398734.0,416991.0,0.57286,17753.0,3085.0,0.65384,83823761.0,8154822.0,0.66848,1562464.0,64189.0,0.82209,3329696.0,9220.0,0.98833,500442160.0,1789696.0,0.97777
M,L,L,L,namd_ID0000002,1,5,0.05882,320.5,76.78,0.81654,986.5,730.11,0.07913,5.85,0.26,0.99829,4981743.0,454882.0,0.52862,14668.0,8124.0,0.54022,75668939.0,33871567.0,0.60344,1498275.0,276911.0,0.78831,3320476.0,248336.0,0.98559,498652464.0,25738392.0,0.97428
