atoms,cores,timesteps,outfreq,task,run,time,normalized_time,cumulative_stime,stime,normalized_stime,cumulative_utime,utime,normalized_utime,cumulative_iowait,iowait,normalized_iowait,cumulative_write_bytes,write_bytes,normalized_write_bytes,cumulative_syscw,syscw,normalized_syscw,cumulative_read_bytes,read_bytes,normalized_read_bytes,cumulative_syscr,syscr,normalized_syscr,cumulative_vmRSS,vmRSS,normalized_vmRSS,cumulative_vmSize,vmSize,normalized_vmSize
M,L,L,L,sassena_ID0000005,1,279,1.0,1423.96,23.03,1.0,18340.11,337.59,1.0,7.21,0.0,1.0,216734.0,308.0,1.0,4252.0,44.0,1.0,95465658.0,28095.0,1.0,81407.0,199.0,1.0,1990776.0,16.0,1.0,255039340.0,136.0,1.0
M,L,L,L,sassena_ID0000005,1,274,0.98208,1400.93,22.12,0.98383,18002.52,338.52,0.98159,7.21,0.0,1.0,216426.0,392.0,0.99858,4208.0,56.0,0.98965,95437563.0,27975.0,0.99971,81208.0,181.0,0.99756,1990760.0,24.0,0.99999,255039204.0,131072.0,1.0
M,L,L,L,sassena_ID0000005,1,269,0.96416,1378.81,23.69,0.96829,17664.0,336.88,0.96313,7.21,0.0,1.0,216034.0,644.0,0.99677,4152.0,92.0,0.97648,95409588.0,28095.0,0.99941,81027.0,199.0,0.99533,1990736.0,16.0,0.99998,254908132.0,131072.0,0.99949
M,L,L,L,sassena_ID0000005,1,264,0.94624,1355.12,23.07,0.95166,17327.12,337.51,0.94477,7.21,0.0,1.0,215390.0,280.0,0.9938,4060.0,40.0,0.95484,95381493.0,28095.0,0.99912,80828.0,199.0,0.99289,1990720.0,4.0,0.99997,254777060.0,65536.0,0.99897
M,L,L,L,sassena_ID0000005,1,259,0.92832,1332.05,23.25,0.93545,16989.61,337.3,0.92636,7.21,0.0,1.0,215110.0,392.0,0.99251,4020.0,56.0,0.94544,95353398.0,27855.0,0.99882,80629.0,163.0,0.99044,1990716.0,0.0,0.99997,254711524.0,144.0,0.99871
M,L,L,L,sassena_ID0000005,1,254,0.91039,1308.8,22.17,0.91913,16652.31,338.38,0.90797,7.21,0.0,1.0,214718.0,672.0,0.9907,3964.0,96.0,0.93227,95325543.0,28215.0,0.99853,80466.0,217.0,0.98844,1990716.0,256.0,0.99997,254711380.0,0.0,0.99871
M,L,L,L,sassena_ID0000005,1,249,0.89247,1286.63,23.34,0.90356,16313.93,337.38,0.88952,7.21,0.0,1.0,214046.0,280.0,0.9876,3868.0,40.0,0.90969,95297328.0,28095.0,0.99824,80249.0,199.0,0.98578,1990460.0,0.0,0.99984,254711380.0,0.0,0.99871
M,L,L,L,sassena_ID0000005,1,244,0.87455,1263.29,22.49,0.88717,15976.55,338.12,0.87113,7.21,0.0,1.0,213766.0,392.0,0.98631,3828.0,56.0,0.90028,95269233.0,27855.0,0.99794,80050.0,163.0,0.98333,1990460.0,0.0,0.99984,254711380.0,152.0,0.99871
M,L,L,L,sassena_ID0000005,1,239,0.85663,1240.8,22.87,0.87137,15638.43,337.79,0.85269,7.21,0.0,1.0,213374.0,851.0,0.9845,3772.0,98.0,0.88711,95241378.0,28755.0,0.99765,79887.0,219.0,0.98133,1990460.0,0.0,0.99984,254711228.0,0.0,0.99871
M,L,L,L,sassena_ID0000005,1,234,0.83871,1217.93,23.0,0.85531,15300.64,337.46,0.83427,7.21,0.0,1.0,212523.0,224.0,0.98057,3674.0,32.0,0.86406,95212623.0,28101.0,0.99735,79668.0,199.0,0.97864,1990460.0,248.0,0.99984,254711228.0,0.0,0.99871
M,L,L,L,sassena_ID0000005,1,229,0.82079,1194.93,22.71,0.83916,14963.18,338.24,0.81587,7.21,0.0,1.0,212299.0,448.0,0.97954,3642.0,64.0,0.85654,95184522.0,27855.0,0.99706,79469.0,163.0,0.97619,1990212.0,0.0,0.99972,254711228.0,144.0,0.99871
M,L,L,L,sassena_ID0000005,1,224,0.80287,1172.22,22.03,0.82321,14624.94,338.5,0.79743,7.21,0.0,1.0,211851.0,672.0,0.97747,3578.0,96.0,0.84149,95156667.0,28215.0,0.99676,79306.0,217.0,0.97419,1990212.0,340.0,0.99972,254711084.0,0.0,0.99871
M,L,L,L,sassena_ID0000005,1,219,0.78495,1150.19,23.18,0.80774,14286.44,337.36,0.77897,7.21,0.0,1.0,211179.0,224.0,0.97437,3482.0,32.0,0.81891,95128452.0,28095.0,0.99647,79089.0,199.0,0.97153,1989872.0,4.0,0.99955,254711084.0,65536.0,0.99871
M,L,L,L,sassena_ID0000005,1,214,0.76703,1127.01,22.86,0.79146,13949.08,337.62,0.76058,7.21,0.0,1.0,210955.0,448.0,0.97334,3450.0,64.0,0.81138,95100357.0,27855.0,0.99617,78890.0,163.0,0.96908,1989868.0,8.0,0.99954,254645548.0,0.0,0.99846
